Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,date
Black Hawk,Iowa,US,42.4704581,-92.30524729,3,0,0,0,"Black Hawk, Iowa, US",03/22/2020
Harrison,Iowa,US,41.68330137,-95.81558439,3,0,0,0,"Harrison, Iowa, US",03/22/2020
Linn,Iowa,US,42.07923082,-91.59809485,4,0,0,0,"Linn, Iowa, US",03/22/2020
Rice,Minnesota,US,44.3543376,-93.29658715,1,0,0,0,"Rice, Minnesota, US",03/22/2020
Benton,Minnesota,US,45.69804958,-93.99514135,1,0,0,0,"Benton, Minnesota, US",03/22/2020
Waseca,Minnesota,US,44.02211116,-93.58720034,1,0,0,0,"Waseca, Minnesota, US",03/22/2020
Renville,Minnesota,US,44.72836381,-94.94553734,1,0,0,0,"Renville, Minnesota, US",03/22/2020
Dodge,Minnesota,US,44.02238415,-92.86244324,2,0,0,0,"Dodge, Minnesota, US",03/22/2020
Clay,Minnesota,US,46.89289518,-96.48761922,2,0,0,0,"Clay, Minnesota, US",03/22/2020
Steele,Minnesota,US,44.02240351,-93.22627088,3,0,0,0,"Steele, Minnesota, US",03/22/2020
Scott,Minnesota,US,44.6490231,-93.53340251,3,0,0,0,"Scott, Minnesota, US",03/22/2020
Nicollet,Minnesota,US,44.35291112,-94.24710352,3,0,0,0,"Nicollet, Minnesota, US",03/22/2020
Chisago,Minnesota,US,45.5021011,-92.90861945,1,0,0,0,"Chisago, Minnesota, US",03/22/2020
Wright,Minnesota,US,45.17297924,-93.96234781,3,0,0,0,"Wright, Minnesota, US",03/22/2020
Stearns,Minnesota,US,45.55192576,-94.61078221,4,0,0,0,"Stearns, Minnesota, US",03/22/2020
Anoka,Minnesota,US,45.27476015,-93.24604565,5,0,0,0,"Anoka, Minnesota, US",03/22/2020
Mower,Minnesota,US,43.67142874,-92.75234549,6,0,0,0,"Mower, Minnesota, US",03/22/2020
Washington,Minnesota,US,45.03864533,-92.88429635,7,0,0,0,"Washington, Minnesota, US",03/22/2020
Carver,Minnesota,US,44.82017001,-93.80099179999999,7,0,0,0,"Carver, Minnesota, US",03/22/2020
Martin,Minnesota,US,43.67429718,-94.55099908,8,0,0,0,"Martin, Minnesota, US",03/22/2020
Dakota,Minnesota,US,44.67172617,-93.06299363,11,0,0,0,"Dakota, Minnesota, US",03/22/2020
Olmsted,Minnesota,US,44.00374114,-92.40209944,14,0,0,0,"Olmsted, Minnesota, US",03/22/2020
Ramsey,Minnesota,US,45.01625271,-93.09872295,18,1,0,0,"Ramsey, Minnesota, US",03/22/2020
Blue Earth,Minnesota,US,44.03554215,-94.06699781,4,0,0,0,"Blue Earth, Minnesota, US",03/22/2020
Wabasha,Minnesota,US,44.28424356,-92.23121312,1,0,0,0,"Wabasha, Minnesota, US",03/22/2020
Jackson,Minnesota,US,43.67423373,-95.15398258,1,0,0,0,"Jackson, Minnesota, US",03/22/2020
St. Louis,Minnesota,US,47.604840700000004,-92.46879855,1,0,0,0,"St. Louis, Minnesota, US",03/22/2020
Benton,Arkansas,US,36.33644656,-94.25680817,1,0,0,0,"Benton, Arkansas, US",03/22/2020
Van Buren,Arkansas,US,35.58095779,-92.51295036,1,0,0,0,"Van Buren, Arkansas, US",03/22/2020
Sevier,Arkansas,US,33.99780401,-94.2424869,1,0,0,0,"Sevier, Arkansas, US",03/22/2020
Searcy,Arkansas,US,35.9109364,-92.69936482,1,0,0,0,"Searcy, Arkansas, US",03/22/2020
Pope,Arkansas,US,35.44871474,-93.03212219,1,0,0,0,"Pope, Arkansas, US",03/22/2020
Poinsett,Arkansas,US,35.57433534,-90.66268713,1,0,0,0,"Poinsett, Arkansas, US",03/22/2020
Independence,Arkansas,US,35.74242707,-91.57001641,1,0,0,0,"Independence, Arkansas, US",03/22/2020
Craighead,Arkansas,US,35.83018283,-90.63235729,1,0,0,0,"Craighead, Arkansas, US",03/22/2020
Clark,Arkansas,US,34.04613432,-93.17484713,1,0,0,0,"Clark, Arkansas, US",03/22/2020
Bradley,Arkansas,US,33.46755808,-92.15980837,1,0,0,0,"Bradley, Arkansas, US",03/22/2020
Grant,Arkansas,US,34.29017991,-92.42320562,1,0,0,0,"Grant, Arkansas, US",03/22/2020
Saline,Arkansas,US,34.64916145,-92.67583224,1,0,0,0,"Saline, Arkansas, US",03/22/2020
Faulkner,Arkansas,US,35.14719007,-92.33717519,2,0,0,0,"Faulkner, Arkansas, US",03/22/2020
Washington,Arkansas,US,35.976844,-94.21800746,2,0,0,0,"Washington, Arkansas, US",03/22/2020
Cleburne,Arkansas,US,35.53864922,-92.02640019,3,0,0,0,"Cleburne, Arkansas, US",03/22/2020
Garland,Arkansas,US,34.57692074,-93.14921604,3,0,0,0,"Garland, Arkansas, US",03/22/2020
Pulaski,Arkansas,US,34.77054088,-92.31355101,4,0,0,0,"Pulaski, Arkansas, US",03/22/2020
Jefferson,Arkansas,US,34.26767081,-91.92619839,9,0,0,0,"Jefferson, Arkansas, US",03/22/2020
LeSeur,Minnesota,US,,,1,0,0,0,"LeSeur, Minnesota, US",03/22/2020
Cass,Minnesota,US,46.95043611,-94.32603968,1,0,0,0,"Cass, Minnesota, US",03/22/2020
Hennepin,Minnesota,US,45.00761521,-93.47694895,57,0,0,0,"Hennepin, Minnesota, US",03/22/2020
Box Elder,Utah,US,41.52106798,-113.08328159999999,1,0,0,0,"Box Elder, Utah, US",03/22/2020
Cache,Utah,US,41.72330587,-111.74436670000001,2,0,0,0,"Cache, Utah, US",03/22/2020
Tooele,Utah,US,40.44862644,-113.12957150000001,3,0,0,0,"Tooele, Utah, US",03/22/2020
Calhoun,South Carolina,US,33.66926881,-80.77722168,1,0,0,0,"Calhoun, South Carolina, US",03/22/2020
Fairfield,South Carolina,US,34.39287073,-81.1195624,1,0,0,0,"Fairfield, South Carolina, US",03/22/2020
Berkeley,South Carolina,US,33.20222596,-79.94654523,2,0,0,0,"Berkeley, South Carolina, US",03/22/2020
Spartanburg,South Carolina,US,34.92960077,-81.99225984,2,0,0,0,"Spartanburg, South Carolina, US",03/22/2020
Greenwood,South Carolina,US,34.15272415,-82.12715789,3,0,0,0,"Greenwood, South Carolina, US",03/22/2020
Orangeburg,South Carolina,US,33.4391073,-80.79886287,3,0,0,0,"Orangeburg, South Carolina, US",03/22/2020
Sumter,South Carolina,US,33.91826534,-80.37942316,3,0,0,0,"Sumter, South Carolina, US",03/22/2020
York,South Carolina,US,34.97281497,-81.18085944,4,0,0,0,"York, South Carolina, US",03/22/2020
Darlington,South Carolina,US,34.33358335,-79.96027485,5,0,0,0,"Darlington, South Carolina, US",03/22/2020
Lancaster,South Carolina,US,34.68270843,-80.70513032,5,0,0,0,"Lancaster, South Carolina, US",03/22/2020
Anderson,South Carolina,US,34.51828081,-82.63959517,10,0,0,0,"Anderson, South Carolina, US",03/22/2020
Horry,South Carolina,US,33.9212828,-78.99555293,11,0,0,0,"Horry, South Carolina, US",03/22/2020
Lexington,South Carolina,US,33.89665987,-81.27146426,12,1,0,0,"Lexington, South Carolina, US",03/22/2020
